               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.057861,            0.056581,                   0,             0.63729,             0.42543,             0.46844,             0.20546,            0.061308,            0.064391,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.057701,            0.056748,                   0,             0.65999,             0.42906,             0.47632,             0.20741,            0.061733,            0.064351,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.057357,             0.05607,                   0,             0.63689,             0.43595,              0.4794,             0.21122,            0.061323,             0.06456,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.057459,            0.058864,                   0,             0.62115,             0.42948,             0.46541,             0.19456,            0.062553,            0.064442,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.057807,            0.058168,                   0,             0.65948,             0.43996,             0.48803,             0.21433,            0.060888,            0.064424,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.057013,            0.056103,                   0,             0.64338,             0.43633,             0.48236,             0.20652,             0.06257,            0.063715,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.057013,            0.055908,                   0,             0.63599,             0.41071,             0.45771,             0.19261,            0.063397,            0.064799,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.057355,            0.057694,                   0,             0.65985,             0.43212,             0.48748,             0.21282,            0.061223,            0.063933,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.058114,            0.056134,                   0,             0.64147,             0.43996,             0.48261,             0.21104,            0.060729,            0.064333,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.057098,            0.056954,                   0,             0.60718,             0.43977,             0.47194,             0.20315,            0.061666,            0.064722,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.05657,            0.055536,                   0,             0.63554,             0.42792,             0.47342,              0.2059,            0.061621,            0.064775,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.05679,            0.055883,                   0,             0.66706,             0.43021,             0.48659,             0.21377,            0.060798,            0.064181,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.056585,            0.052669,                   0,             0.62771,             0.44799,             0.48535,              0.2108,            0.061328,            0.064526,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.056542,            0.056362,                   0,             0.63552,             0.44665,             0.49053,             0.21775,            0.060409,            0.064113,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.056808,            0.055024,                   0,              0.6146,             0.45067,             0.48107,              0.2059,            0.061315,            0.063309,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.056063,            0.056024,                   0,             0.63417,             0.44813,             0.48713,             0.21531,            0.060741,            0.064695,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.055838,            0.057088,                   0,             0.63079,             0.44015,             0.48035,             0.20599,             0.06201,            0.064026,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.055769,            0.054777,                   0,             0.62885,             0.44512,             0.48356,             0.20436,            0.062495,             0.06386,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.056458,            0.054048,                   0,             0.59497,             0.45276,             0.47728,             0.21041,            0.060963,            0.064617,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.055366,            0.055017,                   0,              0.6689,             0.43499,             0.49044,             0.21429,            0.060787,            0.064547,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.056046,            0.055349,                   0,             0.64665,             0.43059,             0.47641,             0.21135,            0.061269,            0.065561,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.055514,            0.054778,                   0,             0.59735,             0.45354,             0.48044,             0.20545,            0.061685,            0.064163,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.054833,            0.053431,                   0,             0.62161,             0.44257,             0.47914,             0.21452,            0.060764,            0.064606,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.055301,            0.053518,                   0,             0.63109,             0.44255,             0.48067,             0.21043,            0.061284,             0.06469,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.055642,             0.05615,                   0,             0.61872,             0.45163,             0.48482,              0.2042,            0.061681,            0.065317,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.055487,             0.05207,                   0,             0.61561,             0.46117,             0.48719,             0.21484,            0.060408,            0.064771,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.054936,            0.053729,                   0,             0.60295,             0.45644,             0.47936,             0.20863,            0.061664,            0.064819,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.055409,            0.054197,                   0,             0.62966,              0.4392,             0.48356,             0.21174,            0.060732,            0.064468,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.055422,            0.055201,                   0,             0.62855,             0.45966,             0.48829,             0.21621,            0.060847,            0.064264,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.054428,            0.054441,                   0,             0.61778,             0.45832,             0.48822,             0.21558,            0.061318,            0.063953,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.054356,            0.053661,                   0,             0.65986,             0.44264,             0.49111,             0.21611,            0.061585,            0.063623,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.053614,            0.055165,                   0,             0.59814,             0.46769,             0.48606,             0.21408,            0.061226,            0.064658,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.054731,            0.053595,                   0,             0.64056,             0.43786,             0.48131,             0.20396,            0.061489,            0.065107,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.055004,            0.055558,                   0,             0.62163,             0.45583,             0.48431,             0.21316,            0.060882,            0.064196,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.053692,            0.051914,                   0,             0.63772,             0.45258,              0.4905,             0.21411,             0.06088,            0.064504,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.054361,            0.054131,                   0,             0.61259,             0.46673,             0.48574,             0.20927,            0.061338,             0.06499,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.054088,            0.054078,                   0,              0.6722,             0.42811,             0.48089,             0.21366,            0.061366,            0.065347,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.053962,            0.053205,                   0,              0.6178,             0.46558,             0.49649,              0.2181,            0.060658,            0.064171,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.053635,            0.051388,                   0,             0.65445,             0.43901,              0.4893,             0.21342,            0.060669,            0.064621,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.053645,            0.052737,                   0,             0.63742,             0.44952,             0.48482,             0.21147,            0.060917,            0.063952,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.053849,            0.053068,                   0,             0.63748,             0.44971,             0.48595,             0.21789,            0.060691,            0.064411,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.052839,            0.052124,                   0,             0.59548,             0.46463,             0.48743,             0.21758,            0.060768,             0.06484,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.052535,            0.051759,                   0,             0.64432,             0.45999,             0.49423,             0.21941,            0.060686,            0.065038,                   0,            0.005149,            0.005149,            0.005149
                 149,             0.05328,             0.05134,                   0,             0.60457,             0.46334,             0.48649,             0.21297,            0.060697,            0.064442,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.053273,            0.052936,                   0,             0.65782,             0.42945,             0.47955,             0.21232,             0.06131,             0.06519,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.053062,            0.052312,                   0,              0.6691,             0.44245,             0.49557,             0.22133,            0.060897,            0.064446,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.052661,            0.051556,                   0,              0.6319,             0.45813,             0.48807,             0.21644,            0.060946,            0.064183,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.052573,             0.05108,                   0,             0.65505,             0.45449,             0.50112,             0.22512,            0.060163,            0.064057,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.053024,            0.053449,                   0,             0.62723,             0.45927,             0.48662,              0.2174,            0.061077,            0.064836,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.051788,            0.049795,                   0,             0.63235,             0.45946,             0.49211,             0.21572,            0.061017,            0.064804,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.051853,             0.05153,                   0,              0.6764,             0.44264,             0.49017,             0.21806,            0.061423,            0.064165,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.051871,            0.051002,                   0,             0.65848,             0.44436,              0.4901,             0.22003,            0.061021,            0.064536,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.052998,            0.052238,                   0,             0.58663,              0.4782,             0.48319,             0.21444,            0.061145,            0.064336,                   0,            0.004819,            0.004819,            0.004819
                 159,              0.0531,             0.05289,                   0,             0.65853,             0.44895,              0.4991,              0.2225,            0.060636,            0.064146,                   0,            0.004786,            0.004786,            0.004786
                 160,             0.05246,            0.052539,                   0,             0.66664,             0.44149,             0.48979,             0.21883,            0.061169,            0.064468,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.051693,            0.051274,                   0,             0.63203,             0.45124,             0.48252,             0.21222,            0.061954,            0.065253,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.051598,            0.051601,                   0,             0.61797,             0.47075,             0.49593,             0.22227,            0.060694,            0.064323,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.051312,            0.050176,                   0,             0.64226,             0.45583,             0.48992,             0.21771,            0.061292,            0.065466,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.052118,             0.05194,                   0,             0.63252,             0.46329,             0.49417,             0.22345,            0.060633,            0.064623,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.051971,            0.052063,                   0,             0.64778,             0.45621,             0.49604,             0.22145,            0.060521,            0.065115,                   0,            0.004588,            0.004588,            0.004588
